"","Any","zona","dat","via","pk","nomMun","nomCom","nomDem","F_MORTS","F_FERITS_GREUS","F_FERITS_LLEUS","F_VICTIMES","F_UNITATS_IMPLICADES","F_VIANANTS_IMPLICADES","F_BICICLETES_IMPLICADES","F_CICLOMOTORS_IMPLICADES","F_MOTOCICLETES_IMPLICADES","F_VEH_LLEUGERS_IMPLICADES","F_VEH_PESANTS_IMPLICADES","F_ALTRES_UNIT_IMPLICADES","F_UNIT_DESC_IMPLICADES","C_VELOCITAT_VIA","D_ACC_AMB_FUGA","D_BOIRA","D_CARACT_ENTORN","D_CARRIL_ESPECIAL","D_CIRCULACIO_MESURES_ESP","D_CLIMATOLOGIA","D_FUNC_ESP_VIA","D_GRAVETAT","D_INFLUIT_BOIRA","D_INFLUIT_CARACT_ENTORN","D_INFLUIT_CIRCULACIO","D_INFLUIT_ESTAT_CLIMA","D_INFLUIT_INTEN_VENT","D_INFLUIT_LLUMINOSITAT","D_INFLUIT_MESU_ESP","D_INFLUIT_OBJ_CALCADA","D_INFLUIT_SOLCS_RASES","D_INFLUIT_VISIBILITAT","D_INTER_SECCIO","D_LIMIT_VELOCITAT","D_LLUMINOSITAT","D_REGULACIO_PRIORITAT","D_SENTITS_VIA","D_SUBTIPUS_ACCIDENT","D_SUBTIPUS_TRAM","D_SUBZONA","D_SUPERFICIE","D_TIPUS_VIA","D_TITULARITAT_VIA","D_TRACAT_ALTIMETRIC","D_VENT","grupDiaLab","hor","grupHor","tipAcc","tipDia"
"20669",2021,"Zona urbana","07/10/2021","SE",999999,"BANYOLES","Pla de l'Estany","Girona",0,1,0,1,3,0,0,0,1,2,0,0,0,100,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","Sols marques viàries (inclou pas vianants)","Un sol sentit","Fregament o col·lisió lateral","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",7.15,"Matí","Col.lisió de vehicles en marxa","dill-dij"
"20670",2021,"Carretera","31/10/2021","CR",22,"ULLDECONA","Montsia","Tarragona",1,0,0,1,1,0,0,0,1,0,0,0,0,100,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","Si","No","En secció","Genérica via","De nit, sense llum artificial",NA,"Doble sentit","Resta sortides de via",NA,"Carretera","Sec i net","Altres","Municipal","Pla","Calma, vent molt suau","CapDeSetmana",22.01,"Nit","Sortida de la calcada sense especificar","dg"
"20671",2021,"Zona urbana","09/05/2021","N-260",120,"CAMPDEVANOL","Ripolles","Girona",0,2,3,5,1,0,0,0,0,1,0,0,0,999,"No","No n'hi ha","Sense Especificar",NA,"No n'hi ha","Bon temps","Travessera","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar",NA,NA,"Resta sortides de via",NA,"Travessera","Sec i net","Carretera convencional","Altres","Sense especificar","Calma, vent molt suau","CapDeSetmana",4.01,"Nit","Sortida de la calcada sense especificar","dg"
"20672",2021,"Carretera","14/11/2021","C-32",26.5,"SANT PERE DE RIBES","Garraf","Barcelona",1,0,2,3,3,1,0,0,0,2,0,0,0,100,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","Alba o capvespre",NA,"Un sol sentit","Atropellament",NA,"Carretera","Sec i net","Carretera convencional","Autonòmica","Rampa o pendent","Calma, vent molt suau","CapDeSetmana",18.06,"Tarda","Atropellament","dg"
"20673",2021,"Zona urbana","26/05/2021","SE",999999,"GIRONA","Girones","Girona",0,1,0,1,2,0,0,1,0,1,0,0,0,100,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Semàfor","Doble sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Vent moderat","Feiners",20.13,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
"20674",2021,"Carretera","30/10/2021","GIV-6703",0.2,"QUART","Girones","Girona",1,0,0,1,2,0,1,0,0,1,0,0,0,100,"No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","Alba o capvespre",NA,"Doble sentit","Envestida (frontal lateral)",NA,"Carretera","Relliscós","Carretera convencional","Provincial","Rampa o pendent","Calma, vent molt suau","CapDeSetmana",7.58,"Matí","Col.lisió de vehicles en marxa","dis"
"20675",2021,"Zona urbana","05/01/2021","SE",999999,"VENDRELL, EL","Baix Penedes","Tarragona",0,1,0,1,2,0,0,0,1,1,0,0,0,40,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","Sense especificar","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Senyal velocitat","De dia, dia clar","Senyal Stop o cedeix pas","Un sol sentit","Encalç","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,"Sense especificar","Calma, vent molt suau","Feiners",13.24,"Matí","Col.lisió de vehicles en marxa","dill-dij"
"20676",2021,"Zona urbana","05/05/2021","SE",999999,"VENDRELL, EL","Baix Penedes","Tarragona",0,1,1,2,2,1,0,0,0,1,0,0,0,40,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","Sense especificar","No","No","Sense especificar","No","No","No","No","Sense especificar","En secció","Senyal velocitat","De dia, dia clar",NA,"Doble sentit","Atropellament",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","Municipal","Sense especificar","Calma, vent molt suau","Feiners",14.25,"Tarda","Atropellament","dill-dij"
"20677",2021,"Zona urbana","11/06/2021","SE",999999,"REUS","Baix Camp","Tarragona",0,1,1,2,2,0,0,0,0,2,0,0,0,100,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,NA,"Encalç",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","CapDeSetmana",19.4,"Tarda","Col.lisió de vehicles en marxa","div"
"20678",2021,"Zona urbana","15/10/2021","SE",999999,"TERRASSA","Valles Occidental","Barcelona",0,1,0,1,1,0,0,0,0,0,0,1,0,NA,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,"Un sol sentit","Caiguda en la via",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,"Sense especificar","Calma, vent molt suau","Feiners",12.45,"Matí","Bolcada a la calcada","div"
